task_id_list	station_id	score	willingness
T0008,T0001	C015	22.401	0.637
T0000,T0009	C015	21.457	0.602
T0006	C016	9.793	0.843
T0008	C016	14.414	0.625
T0009	C016	15.271	0.667
T0008,T0001	C016	29.183	0.564
T0007,T0004	C016	21.873	0.731
T0011,T0008	C016	34.747	0.462
T0001	C017	11.304	0.744
T0006	C017	8.812	0.824
T0010	C017	11.330	0.546
T0008,T0002	C017	37.886	0.487
T0010,T0007	C017	33.887	0.835
T0002,T0005	C017	36.028	0.561
T0002	C018	15.063	0.803
T0003	C018	19.207	0.551
T0005	C018	23.478	0.590
T0006	C018	17.146	0.665
T0009	C018	21.127	0.791
T0011	C018	15.727	0.645
T0007,T0009	C018	22.637	0.526
T0007,T0011	C018	20.764	0.638
T0009,T0005	C018	24.284	0.518
T0002	C019	18.467	0.777
T0005	C019	11.524	0.851
T0006	C019	8.215	0.866
T0007	C019	13.322	0.634
T0008	C019	20.310	0.644
T0009	C019	15.129	0.850
T0010	C019	17.857	0.555
T0011	C019	18.317	0.658
T0001,T0010	C019	32.646	0.816
T0010,T0001	C019	29.866	0.770
T0003,T0002	C019	31.947	0.790
