task_id_list	station_id	score	willingness
T0023	C005	9.969	0.805
T0025	C005	27.199	0.523
T0026	C005	9.008	0.609
T0027	C005	25.223	0.578
T0004,T0003	C005	29.626	0.463
T0013,T0014	C005	37.234	0.688
T0021,T0013	C005	29.649	0.735
T0026,T0004	C005	48.484	0.730
T0007,T0015	C005	21.644	0.802
T0025,T0016	C005	37.999	0.562
T0008,T0019	C005	39.921	0.654
T0018,T0006	C005	38.259	0.739
T0000	C006	12.979	0.890
T0003	C006	9.216	0.535
T0004	C006	20.467	0.451
T0005	C006	9.450	0.443
T0006	C006	19.013	0.716
T0007	C006	17.571	0.505
T0008	C006	22.897	0.819
T0009	C006	10.396	0.805
T0010	C006	23.375	0.507
T0011	C006	13.161	0.805
T0012	C006	21.073	0.895
T0013	C006	18.972	0.773
T0015	C006	15.385	0.449
T0017	C006	9.660	0.682
T0018	C006	21.707	0.549
T0019	C006	9.522	0.507
T0020	C006	9.634	0.552
T0021	C006	21.880	0.541
T0022	C006	15.156	0.763
T0023	C006	10.348	0.755
T0024	C006	26.371	0.870
T0026	C006	24.061	0.552
T0027	C006	15.992	0.867
T0016,T0007	C006	20.697	0.773
T0000,T0011	C006	39.664	0.663
T0025,T0006	C006	41.643	0.566
T0012,T0017	C006	22.953	0.666
T0005,T0002	C006	42.286	0.796
T0009,T0025	C006	18.711	0.632
T0017,T0005	C006	36.159	0.835
T0020,T0026	C006	43.738	0.429
T0000	C007	23.761	0.442
T0001	C007	22.741	0.850
T0002	C007	20.683	0.472
T0003	C007	20.980	0.523
T0004	C007	23.307	0.661
T0005	C007	15.888	0.569
T0007	C007	17.873	0.669
T0008	C007	22.163	0.857
T0009	C007	24.525	0.733
T0011	C007	24.677	0.844
T0013	C007	18.477	0.755
T0014	C007	16.432	0.610
T0015	C007	22.825	0.896
T0016	C007	11.353	0.502
T0017	C007	13.840	0.885
T0018	C007	14.169	0.457
T0019	C007	23.519	0.490
T0020	C007	17.175	0.692
T0022	C007	10.174	0.492
T0023	C007	12.708	0.759
T0024	C007	12.479	0.492
T0025	C007	11.450	0.779
T0026	C007	18.965	0.809
T0027	C007	13.209	0.844
T0010,T0021	C007	35.515	0.831
T0015,T0027	C007	25.072	0.422
T0004,T0025	C007	43.545	0.839
T0025,T0016	C007	42.773	0.754
T0001,T0021	C007	47.576	0.801
T0027,T0015	C007	46.967	0.603
T0007,T0022	C007	31.486	0.794
T0013,T0005	C007	42.702	0.465
T0001	C008	10.622	0.771
T0002	C008	18.319	0.426
T0003	C008	11.566	0.502
T0005	C008	10.568	0.576
T0006	C008	18.559	0.845
T0007	C008	9.657	0.774
T0008	C008	18.119	0.410
T0009	C008	11.861	0.741
T0010	C008	16.804	0.419
T0011	C008	17.884	0.873
T0013	C008	16.109	0.678
T0015	C008	9.341	0.437
T0016	C008	21.353	0.738
T0017	C008	23.688	0.461
T0018	C008	25.274	0.756
T0019	C008	13.869	0.457
T0020	C008	25.121	0.822
T0021	C008	26.031	0.476
T0022	C008	26.749	0.775
T0024	C008	19.112	0.443
T0025	C008	15.531	0.455
T0026	C008	13.476	0.635
T0027	C008	16.937	0.591
T0003,T0004	C008	37.895	0.459
T0020,T0022	C008	23.736	0.487
T0001,T0026	C008	32.821	0.717
T0003,T0007	C008	19.035	0.844
T0013,T0024	C008	20.326	0.814
T0013,T0016	C008	22.450	0.492
T0004,T0026	C008	40.122	0.617
T0013,T0019	C008	18.494	0.580
T0000	C009	27.639	0.795
T0001	C009	20.172	0.409
T0002	C009	14.845	0.725
T0003	C009	15.552	0.655
T0004	C009	24.504	0.706
T0005	C009	23.330	0.851
T0006	C009	15.051	0.650
T0007	C009	22.268	0.893
T0008	C009	22.308	0.818
T0009	C009	26.898	0.714
T0010	C009	9.665	0.522
T0011	C009	21.942	0.565
T0013	C009	17.261	0.462
T0015	C009	26.081	0.672
T0016	C009	19.207	0.532
T0019	C009	20.030	0.461
T0020	C009	13.772	0.849
T0021	C009	19.472	0.815
T0022	C009	18.957	0.438
T0023	C009	11.601	0.894
T0025	C009	14.153	0.736
T0026	C009	15.633	0.696
T0027	C009	8.327	0.500
T0014,T0001	C009	22.576	0.574
T0018,T0012	C009	23.558	0.634
T0008,T0007	C009	36.177	0.549
T0020,T0025	C009	19.212	0.702
T0004,T0012	C009	48.699	0.670
T0015,T0011	C009	31.166	0.681
T0022,T0018	C009	42.257	0.738
T0015,T0014	C009	44.824	0.785
T0000	C010	16.679	0.683
T0002	C010	18.500	0.616
T0004	C010	9.094	0.763
T0006	C010	19.950	0.776
T0007	C010	19.869	0.435
T0008	C010	16.939	0.651
T0009	C010	9.039	0.747
T0010	C010	12.783	0.553
T0011	C010	12.717	0.434
T0014	C010	25.330	0.611
T0015	C010	12.436	0.773
T0016	C010	26.068	0.449
T0017	C010	10.476	0.669
T0019	C010	12.879	0.550
T0020	C010	9.253	0.848
T0021	C010	15.945	0.578
T0022	C010	8.918	0.416
T0024	C010	17.968	0.867
T0026	C010	12.130	0.548
T0001,T0006	C010	28.108	0.787
T0015,T0000	C010	23.500	0.796
T0017,T0006	C010	35.059	0.506
T0001,T0020	C010	21.395	0.727
T0010,T0008	C010	45.827	0.721
T0004,T0010	C010	40.270	0.822
T0014,T0013	C010	20.528	0.500
T0009,T0003	C010	40.737	0.488
T0000	C011	12.709	0.732
T0001	C011	15.450	0.731
T0003	C011	12.580	0.550
T0005	C011	13.537	0.720
T0006	C011	27.661	0.620
T0007	C011	18.616	0.423
T0008	C011	13.691	0.525
T0009	C011	9.743	0.543
T0010	C011	12.918	0.540
T0011	C011	11.727	0.849
T0013	C011	17.233	0.775
T0014	C011	26.585	0.650
T0015	C011	19.120	0.722
T0016	C011	21.165	0.791
T0017	C011	18.113	0.823
T0018	C011	18.410	0.876
T0019	C011	23.593	0.483
T0020	C011	12.707	0.620
T0021	C011	23.731	0.796
T0022	C011	17.782	0.511
T0023	C011	17.979	0.418
T0024	C011	22.294	0.686
T0026	C011	11.036	0.409
T0027	C011	16.693	0.621
T0008,T0027	C011	43.553	0.433
T0005,T0018	C011	38.476	0.661
T0023,T0007	C011	37.943	0.424
T0013,T0001	C011	40.261	0.769
T0023,T0016	C011	42.983	0.744
T0015,T0002	C011	38.802	0.630
T0012,T0008	C011	25.940	0.624
T0021,T0026	C011	37.068	0.605
T0000	C012	17.337	0.749
T0001	C012	27.144	0.464
T0002	C012	20.015	0.467
T0003	C012	18.434	0.893
T0004	C012	16.197	0.663
T0005	C012	19.122	0.636
T0008	C012	22.340	0.888
T0009	C012	13.914	0.459
T0011	C012	9.720	0.514
T0012	C012	26.928	0.862
T0013	C012	11.208	0.693
T0015	C012	19.348	0.856
T0018	C012	25.199	0.868
T0019	C012	15.575	0.425
T0020	C012	12.930	0.797
T0021	C012	17.604	0.600
T0022	C012	23.192	0.636
T0023	C012	20.533	0.491
T0024	C012	18.807	0.610
T0025	C012	13.530	0.874
T0026	C012	18.378	0.771
T0027	C012	19.347	0.725
T0006,T0008	C012	21.309	0.426
T0023,T0024	C012	29.512	0.745
T0023,T0026	C012	47.026	0.409
T0010,T0026	C012	30.301	0.437
T0012,T0010	C012	26.201	0.795
T0021,T0001	C012	27.672	0.674
T0015,T0001	C012	24.007	0.631
T0004,T0001	C012	24.673	0.585
T0000	C013	21.880	0.658
T0001	C013	14.277	0.626
T0002	C013	25.602	0.817
T0003	C013	16.987	0.468
T0004	C013	15.112	0.451
T0005	C013	20.226	0.470
T0006	C013	22.942	0.641
T0007	C013	23.233	0.772
T0008	C013	9.338	0.826
T0009	C013	15.067	0.461
T0010	C013	15.484	0.792
T0011	C013	23.991	0.460
T0012	C013	17.798	0.865
T0013	C013	22.067	0.511
T0015	C013	23.366	0.575
T0016	C013	18.409	0.771
T0018	C013	17.566	0.529
T0020	C013	26.291	0.851
T0021	C013	26.194	0.856
T0022	C013	15.544	0.823
T0023	C013	22.384	0.843
T0024	C013	8.707	0.562
T0025	C013	13.946	0.808
T0027	C013	15.688	0.571
T0011,T0000	C013	36.437	0.824
T0024,T0002	C013	38.075	0.679
T0013,T0019	C013	31.298	0.524
T0026,T0014	C013	46.151	0.572
T0012,T0001	C013	43.723	0.708
T0008,T0009	C013	33.841	0.613
T0000,T0004	C013	37.373	0.521
T0008,T0021	C013	25.042	0.634
T0002	C014	18.940	0.824
T0003	C014	9.581	0.812
T0005	C014	23.932	0.532
T0006	C014	8.387	0.803
T0007	C014	15.925	0.478
T0008	C014	11.221	0.567
T0009	C014	24.100	0.547
T0010	C014	15.337	0.734
T0011	C014	20.925	0.581
T0012	C014	26.349	0.769
T0015	C014	25.712	0.555
T0016	C014	18.247	0.740
T0017	C014	20.432	0.606
T0018	C014	14.893	0.599
T0019	C014	21.876	0.526
T0020	C014	15.354	0.741
T0021	C014	25.121	0.502
T0022	C014	10.587	0.892
T0023	C014	10.511	0.770
T0024	C014	11.216	0.500
T0025	C014	13.839	0.726
T0027	C014	21.877	0.795
T0004,T0008	C014	40.003	0.589
T0020,T0021	C014	30.695	0.820
T0004,T0001	C014	23.034	0.849
T0027,T0001	C014	24.202	0.560
T0017,T0025	C014	21.845	0.549
T0000,T0026	C014	35.362	0.617
T0011,T0002	C014	27.894	0.760
T0026,T0020	C014	27.079	0.576
T0000	C015	23.307	0.890
T0001	C015	21.881	0.673
T0002	C015	10.938	0.488
T0003	C015	26.671	0.526
T0004	C015	10.407	0.562
T0005	C015	19.318	0.472
T0006	C015	13.480	0.514
T0007	C015	15.317	0.530
T0008	C015	9.288	0.846
T0009	C015	9.568	0.491
T0010	C015	27.943	0.501
T0012	C015	16.291	0.804
T0013	C015	9.153	0.675
T0014	C015	20.461	0.539
T0018	C015	24.674	0.762
T0019	C015	8.536	0.484
T0020	C015	9.493	0.579
T0021	C015	14.200	0.657
T0022	C015	12.203	0.880
T0023	C015	18.545	0.805
T0024	C015	22.708	0.600
T0025	C015	24.553	0.784
T0027	C015	27.008	0.601
T0022,T0013	C015	26.016	0.809
T0000,T0018	C015	22.505	0.546
T0023,T0011	C015	34.197	0.525
T0011,T0020	C015	38.417	0.559
T0008,T0002	C015	46.965	0.545
T0003,T0008	C015	28.714	0.734
T0006,T0001	C015	41.782	0.646
T0021,T0006	C015	23.673	0.448
T0000	C016	15.007	0.615
T0001	C016	18.051	0.602
T0002	C016	18.743	0.876
T0003	C016	25.610	0.560
T0004	C016	10.167	0.894
T0005	C016	27.253	0.510
T0006	C016	22.121	0.489
T0007	C016	21.544	0.874
T0008	C016	11.669	0.579
T0010	C016	20.695	0.589
T0011	C016	12.246	0.708
T0014	C016	18.097	0.684
T0015	C016	24.750	0.745
T0016	C016	21.309	0.610
T0017	C016	12.601	0.700
T0018	C016	18.305	0.416
T0019	C016	16.936	0.697
T0020	C016	26.632	0.476
T0021	C016	27.857	0.769
T0022	C016	22.735	0.895
T0023	C016	25.349	0.463
T0025	C016	12.682	0.820
T0026	C016	26.754	0.815
T0027	C016	18.232	0.897
T0002,T0005	C016	45.843	0.720
T0008,T0016	C016	43.829	0.604
T0017,T0000	C016	45.698	0.488
T0008,T0020	C016	25.633	0.448
T0014,T0025	C016	42.226	0.795
T0002,T0025	C016	33.893	0.425
T0027,T0017	C016	49.127	0.430
T0004,T0025	C016	29.707	0.445
T0000	C017	14.916	0.832
T0001	C017	10.348	0.491
T0002	C017	24.984	0.709
T0004	C017	27.757	0.503
T0005	C017	25.531	0.764
T0006	C017	21.368	0.615
T0007	C017	14.792	0.558
T0008	C017	13.571	0.702
T0009	C017	11.613	0.464
T0010	C017	17.329	0.465
T0011	C017	26.821	0.705
T0012	C017	11.923	0.897
T0013	C017	22.725	0.580
T0014	C017	16.165	0.473
T0015	C017	16.494	0.810
T0016	C017	17.136	0.653
T0018	C017	22.072	0.518
T0019	C017	13.697	0.836
T0020	C017	25.089	0.738
T0021	C017	26.674	0.594
T0022	C017	20.025	0.624
T0023	C017	16.382	0.541
T0024	C017	27.090	0.546
T0025	C017	21.441	0.522
T0026	C017	10.643	0.848
T0027	C017	16.413	0.571
T0026,T0027	C017	42.609	0.447
T0021,T0003	C017	32.500	0.494
T0025,T0011	C017	18.517	0.414
T0018,T0021	C017	40.314	0.845
T0026,T0027	C017	18.743	0.685
T0015,T0002	C017	29.576	0.609
T0010,T0015	C017	39.468	0.672
T0007,T0000	C017	49.763	0.578
T0000	C018	20.999	0.751
T0002	C018	17.245	0.601
T0003	C018	12.361	0.895
T0004	C018	15.398	0.471
T0005	C018	22.836	0.442
T0006	C018	20.979	0.712
T0007	C018	13.068	0.806
T0008	C018	23.520	0.460
T0009	C018	8.316	0.830
T0012	C018	15.022	0.668
T0013	C018	10.224	0.795
T0014	C018	18.146	0.462
T0015	C018	10.594	0.444
T0016	C018	13.879	0.789
T0017	C018	16.278	0.427
T0018	C018	17.034	0.679
T0019	C018	25.015	0.452
T0021	C018	27.406	0.662
T0022	C018	20.244	0.832
T0024	C018	8.214	0.477
T0025	C018	22.689	0.756
T0026	C018	18.621	0.414
T0027	C018	14.015	0.883
T0020,T0024	C018	45.125	0.421
T0013,T0009	C018	20.507	0.517
T0003,T0021	C018	47.402	0.548
T0015,T0006	C018	38.929	0.799
T0004,T0018	C018	49.410	0.817
T0003,T0012	C018	38.021	0.520
T0019,T0008	C018	25.042	0.438
T0025,T0015	C018	30.309	0.692
T0000	C019	10.336	0.556
T0001	C019	11.265	0.591
T0002	C019	24.373	0.738
T0003	C019	8.648	0.580
T0005	C019	18.537	0.767
T0006	C019	19.866	0.452
T0007	C019	15.144	0.523
T0009	C019	24.802	0.505
T0010	C019	9.121	0.492
T0011	C019	23.169	0.572
T0013	C019	19.789	0.804
T0015	C019	15.467	0.445
T0016	C019	9.945	0.598
T0017	C019	13.006	0.416
T0018	C019	11.118	0.543
T0019	C019	27.994	0.645
T0020	C019	9.676	0.469
T0021	C019	22.354	0.708
T0022	C019	12.230	0.673
T0023	C019	17.583	0.568
T0024	C019	26.270	0.811
T0025	C019	9.669	0.743
T0026	C019	23.138	0.739
T0027	C019	16.900	0.849
T0023,T0002	C019	44.734	0.830
T0011,T0021	C019	44.613	0.720
T0022,T0003	C019	30.709	0.711
T0020,T0017	C019	21.644	0.791
T0003,T0013	C019	28.373	0.463
T0003,T0004	C019	45.959	0.613
T0001,T0013	C019	47.775	0.490
T0022,T0015	C019	33.796	0.710
T0000	C020	23.572	0.453
T0001	C020	11.330	0.693
T0002	C020	14.925	0.482
T0003	C020	19.828	0.660
T0004	C020	19.485	0.821
T0005	C020	19.676	0.640
T0007	C020	21.948	0.517
T0008	C020	22.608	0.687
T0009	C020	9.284	0.812
T0010	C020	22.330	0.616
T0011	C020	19.191	0.888
T0013	C020	17.736	0.516
T0014	C020	10.046	0.553
T0015	C020	8.701	0.749
T0016	C020	19.030	0.567
T0017	C020	27.017	0.782
T0018	C020	9.954	0.792
T0019	C020	11.985	0.667
T0020	C020	10.416	0.782
T0021	C020	25.988	0.862
T0022	C020	15.280	0.876
T0023	C020	13.818	0.829
T0024	C020	13.294	0.525
T0025	C020	18.744	0.527
T0026	C020	13.057	0.466
T0027	C020	13.452	0.543
T0008,T0016	C020	22.870	0.575
T0026,T0027	C020	35.422	0.459
T0002,T0017	C020	43.607	0.473
T0024,T0021	C020	40.487	0.665
T0020,T0008	C020	27.806	0.592
T0024,T0011	C020	38.858	0.644
T0015,T0014	C020	39.959	0.556
T0006,T0020	C020	34.181	0.655
T0000	C021	12.644	0.875
T0001	C021	26.810	0.729
T0002	C021	26.035	0.451
T0003	C021	10.394	0.894
T0004	C021	25.442	0.431
T0005	C021	9.358	0.415
T0006	C021	27.656	0.743
T0008	C021	18.424	0.439
T0009	C021	11.691	0.663
T0010	C021	17.980	0.499
T0011	C021	16.346	0.643
T0012	C021	17.739	0.679
T0014	C021	10.698	0.550
T0015	C021	22.042	0.869
T0021	C021	17.794	0.695
T0022	C021	20.255	0.707
T0024	C021	18.385	0.880
T0025	C021	10.235	0.835
T0027	C021	8.639	0.815
T0022,T0019	C021	34.633	0.661
T0024,T0021	C021	43.850	0.400
T0002,T0025	C021	24.918	0.578
T0007,T0013	C021	29.218	0.499
T0012,T0000	C021	46.753	0.509
T0001,T0018	C021	29.830	0.725
T0016,T0021	C021	29.261	0.693
T0013,T0005	C021	24.426	0.495
T0000	C022	12.419	0.859
T0001	C022	21.562	0.705
T0002	C022	19.485	0.687
T0003	C022	14.217	0.433
T0004	C022	22.787	0.502
T0005	C022	12.958	0.446
T0006	C022	18.073	0.621
T0007	C022	19.142	0.469
T0008	C022	9.398	0.437
T0009	C022	28.000	0.610
T0010	C022	12.650	0.896
T0011	C022	26.134	0.681
T0013	C022	27.487	0.856
T0014	C022	8.658	0.877
T0015	C022	11.170	0.434
T0016	C022	17.856	0.513
T0017	C022	10.771	0.468
T0018	C022	14.389	0.421
T0019	C022	22.033	0.518
T0020	C022	25.713	0.734
T0021	C022	22.536	0.862
T0022	C022	25.414	0.892
T0023	C022	21.527	0.462
T0024	C022	19.649	0.537
T0025	C022	24.322	0.621
T0026	C022	13.236	0.446
T0027	C022	8.330	0.861
T0024,T0021	C022	34.121	0.472
T0010,T0020	C022	36.190	0.532
T0025,T0019	C022	32.712	0.671
T0027,T0015	C022	32.881	0.486
T0015,T0021	C022	18.782	0.743
T0012,T0017	C022	19.661	0.473
T0005,T0012	C022	41.564	0.495
T0000,T0007	C022	31.570	0.833
T0000	C023	9.263	0.412
T0001	C023	11.327	0.886
T0002	C023	24.959	0.681
T0003	C023	13.015	0.771
T0004	C023	10.873	0.690
T0005	C023	16.592	0.693
T0006	C023	26.988	0.646
T0007	C023	20.437	0.846
T0008	C023	17.367	0.681
T0010	C023	26.677	0.557
T0011	C023	16.073	0.751
T0012	C023	20.778	0.717
T0013	C023	17.589	0.456
T0014	C023	24.011	0.725
T0015	C023	21.255	0.600
T0016	C023	24.937	0.684
T0017	C023	14.390	0.720
T0018	C023	10.861	0.414
T0019	C023	9.006	0.540
T0020	C023	19.665	0.599
T0021	C023	11.898	0.717
T0022	C023	15.062	0.429
T0023	C023	25.187	0.476
T0024	C023	21.315	0.651
T0026	C023	21.792	0.623
T0027	C023	21.359	0.464
T0007,T0025	C023	41.337	0.523
T0009,T0025	C023	46.192	0.453
T0015,T0009	C023	40.859	0.420
T0025,T0000	C023	48.597	0.696
T0015,T0025	C023	38.611	0.704
T0012,T0020	C023	45.695	0.839
T0005,T0003	C023	26.310	0.530
T0012,T0009	C023	26.135	0.675
T0000	C024	13.229	0.754
T0001	C024	22.982	0.735
T0002	C024	16.151	0.597
T0003	C024	8.050	0.532
T0004	C024	26.488	0.512
T0005	C024	8.781	0.842
T0006	C024	27.584	0.515
T0007	C024	10.354	0.477
T0008	C024	17.335	0.745
T0009	C024	13.337	0.786
T0010	C024	14.569	0.427
T0011	C024	18.657	0.690
T0012	C024	17.283	0.428
T0013	C024	12.350	0.896
T0014	C024	9.933	0.753
T0015	C024	23.131	0.663
T0016	C024	26.655	0.582
T0017	C024	15.966	0.570
T0019	C024	25.197	0.828
T0020	C024	12.309	0.860
T0021	C024	26.331	0.440
T0022	C024	17.520	0.608
T0023	C024	24.173	0.862
T0024	C024	26.947	0.693
T0025	C024	8.245	0.444
T0026	C024	27.740	0.708
T0027	C024	27.379	0.794
T0018,T0023	C024	47.917	0.521
T0025,T0020	C024	19.328	0.426
T0001,T0013	C024	49.228	0.828
T0006,T0008	C024	46.430	0.425
T0002,T0000	C024	26.622	0.713
T0014,T0027	C024	22.091	0.592
T0018,T0025	C024	41.816	0.581
T0020,T0007	C024	39.802	0.677
T0000	C025	22.210	0.464
T0001	C025	17.473	0.408
T0002	C025	15.820	0.634
T0003	C025	27.074	0.826
T0004	C025	19.756	0.558
T0006	C025	14.083	0.510
T0008	C025	16.209	0.599
T0010	C025	23.826	0.754
T0011	C025	15.316	0.618
T0012	C025	14.311	0.712
T0013	C025	14.074	0.786
T0014	C025	17.471	0.840
T0015	C025	15.520	0.849
T0017	C025	16.029	0.736
T0018	C025	13.925	0.762
T0020	C025	21.376	0.618
T0021	C025	12.520	0.785
T0022	C025	27.599	0.571
T0023	C025	8.335	0.608
T0024	C025	13.189	0.707
T0025	C025	15.967	0.897
T0026	C025	26.255	0.430
T0027	C025	24.426	0.819
T0012,T0002	C025	36.891	0.720
T0024,T0010	C025	41.893	0.661
T0008,T0022	C025	39.795	0.583
T0005,T0000	C025	22.368	0.751
T0010,T0025	C025	41.251	0.828
T0008,T0024	C025	36.149	0.638
T0015,T0010	C025	23.346	0.681
T0015,T0021	C025	33.594	0.808
T0001	C026	9.962	0.424
T0002	C026	19.144	0.620
T0003	C026	13.805	0.616
T0004	C026	8.181	0.673
T0005	C026	15.269	0.508
T0006	C026	10.929	0.689
T0007	C026	18.790	0.599
T0008	C026	23.766	0.713
T0009	C026	20.226	0.503
T0010	C026	26.211	0.719
T0011	C026	11.826	0.410
T0012	C026	19.648	0.733
T0013	C026	14.613	0.712
T0014	C026	14.432	0.806
T0016	C026	22.026	0.414
T0018	C026	13.628	0.653
T0019	C026	18.976	0.701
T0020	C026	20.948	0.861
T0021	C026	25.734	0.488
T0022	C026	19.853	0.782
T0023	C026	20.092	0.574
T0024	C026	14.370	0.827
T0025	C026	9.182	0.646
T0026	C026	25.002	0.773
T0027	C026	21.606	0.871
T0000,T0003	C026	28.370	0.667
T0024,T0015	C026	37.203	0.788
T0002,T0025	C026	21.259	0.409
T0022,T0019	C026	23.645	0.523
T0021,T0004	C026	40.256	0.545
T0014,T0024	C026	27.249	0.653
T0011,T0007	C026	29.520	0.512
T0009,T0008	C026	18.480	0.564
T0000	C027	11.448	0.487
T0001	C027	9.925	0.739
T0002	C027	18.901	0.840
T0004	C027	16.885	0.759
T0005	C027	24.335	0.581
T0006	C027	16.880	0.688
T0008	C027	24.900	0.543
T0009	C027	15.833	0.724
T0010	C027	17.124	0.661
T0011	C027	26.457	0.678
T0012	C027	15.426	0.872
T0013	C027	18.024	0.513
T0014	C027	21.090	0.836
T0015	C027	10.190	0.667
T0016	C027	16.532	0.678
T0017	C027	13.788	0.578
