task_id_list	station_id	score	willingness
T0014,T0016	C014	44.641	0.738
T0018,T0016	C014	31.069	0.809
T0001	C015	10.670	0.656
T0003	C015	13.871	0.741
T0004	C015	21.854	0.773
T0005	C015	13.071	0.648
T0006	C015	20.725	0.710
T0008	C015	23.545	0.637
T0009	C015	9.170	0.911
T0010	C015	23.519	0.890
T0016	C015	16.903	0.742
T0010,T0011	C015	44.718	0.769
T0011,T0012	C015	24.222	0.689
T0010,T0017	C015	30.226	0.462
T0000	C016	11.759	0.556
T0001	C016	21.028	0.894
T0007	C016	9.135	0.740
T0011	C016	22.250	0.715
T0012	C016	18.036	0.878
T0013	C016	21.727	0.592
T0014	C016	16.391	0.878
T0015	C016	15.687	0.654
T0017	C016	16.197	0.531
T0013,T0006	C016	15.248	0.663
T0012,T0016	C016	41.282	0.481
T0019,T0016	C016	38.887	0.684
T0000	C017	22.469	0.693
T0001	C017	13.089	0.790
T0002	C017	10.041	0.627
T0013	C017	18.709	0.629
T0014	C017	16.607	0.746
T0017	C017	18.823	0.918
T0011,T0013	C017	27.064	0.825
T0000,T0002	C017	42.755	0.789
T0012,T0008	C017	28.931	0.768
T0000	C018	20.739	0.702
T0001	C018	15.755	0.549
T0002	C018	15.058	0.508
T0003	C018	12.424	0.860
T0005	C018	24.961	0.608
T0009	C018	21.209	0.704
T0011	C018	24.515	0.801
T0012	C018	10.201	0.906
T0013	C018	8.444	0.606
T0014	C018	24.187	0.668
T0017	C018	18.402	0.918
T0011,T0001	C018	43.383	0.838
T0003,T0017	C018	35.372	0.784
T0003,T0008	C018	35.537	0.522
T0002	C019	11.642	0.771
T0004	C019	15.604	0.786
T0005	C019	14.682	0.755
T0006	C019	10.535	0.758
T0008	C019	12.379	0.812
T0018	C019	20.882	0.806
T0019	C019	23.048	0.798
T0001,T0017	C019	33.764	0.570
T0003,T0007	C019	30.240	0.558
T0007,T0013	C019	19.450	0.553
T0000	C020	18.710	0.879
T0001	C020	22.186	0.714
T0003	C020	16.162	0.628
T0004	C020	16.479	0.752
T0005	C020	10.995	0.819
T0008	C020	10.540	0.712
T0010	C020	20.944	0.915
T0011	C020	18.583	0.702
T0012	C020	23.083	0.793
T0013	C020	18.799	0.848
T0014	C020	10.925	0.549
T0018	C020	13.570	0.825
T0019,T0007	C020	17.537	0.540
T0010,T0008	C020	33.034	0.657
T0000,T0003	C020	24.895	0.506
T0000	C021	21.090	0.786
T0001	C021	9.315	0.804
T0002	C021	13.389	0.613
T0003	C021	8.530	0.558
T0004	C021	23.873	0.768
T0005	C021	19.554	0.615
T0007	C021	24.127	0.648
T0013	C021	19.543	0.761
T0017	C021	23.271	0.766
T0019	C021	16.645	0.574
T0006,T0013	C021	23.235	0.458
T0017,T0008	C021	43.345	0.555
T0004,T0012	C021	36.266	0.748
T0000	C022	24.617	0.653
T0006	C022	10.248	0.531
T0010	C022	21.617	0.822
T0011	C022	12.970	0.565
T0014	C022	24.604	0.561
T0015	C022	19.678	0.768
T0018	C022	21.859	0.556
T0003,T0014	C022	15.911	0.623
T0013,T0008	C022	43.006	0.613
T0019,T0014	C022	16.598	0.638
T0000	C023	19.970	0.500
T0001	C023	9.889	0.559
T0003	C023	12.605	0.913
T0008	C023	21.741	0.601
T0010	C023	10.697	0.826
T0012	C023	22.956	0.645
T0016	C023	15.393	0.658
T0017	C023	21.874	0.685
T0016,T0004	C023	16.681	0.719
T0016,T0005	C023	31.291	0.700
T0010,T0003	C023	44.256	0.459
T0001	C024	22.175	0.573
T0003	C024	13.705	0.907
T0006	C024	16.010	0.707
T0009	C024	15.490	0.728
T0013	C024	14.394	0.546
T0014	C024	9.268	0.577
T0018	C024	10.644	0.908
T0008,T0000	C024	28.933	0.774
T0007,T0017	C024	35.865	0.847
T0017,T0007	C024	44.465	0.813
T0001	C025	12.066	0.826
T0004	C025	17.951	0.716
T0005	C025	21.505	0.893
T0011	C025	21.251	0.550
T0013	C025	17.519	0.769
T0014	C025	24.628	0.600
T0015	C025	24.239	0.631
T0016	C025	15.065	0.750
T0019	C025	17.090	0.688
T0016,T0013	C025	31.615	0.730
T0012,T0006	C025	29.862	0.561
T0004,T0008	C025	32.006	0.788
T0003	C026	10.426	0.607
T0004	C026	12.745	0.696
T0005	C026	10.214	0.606
T0006	C026	21.629	0.726
T0007	C026	15.297	0.866
T0010	C026	11.329	0.763
T0011	C026	21.365	0.524
T0013	C026	19.601	0.748
T0014	C026	17.155	0.531
T0015	C026	14.488	0.620
T0018	C026	22.256	0.595
T0011,T0015	C026	31.061	0.485
T0009,T0006	C026	36.161	0.459
T0019,T0018	C026	18.091	0.599
T0000	C027	18.512	0.522
T0002	C027	10.250	0.888
T0004	C027	15.400	0.746
T0007	C027	23.506	0.914
T0008	C027	24.103	0.778
T0019	C027	8.641	0.570
T0017,T0016	C027	21.994	0.614
T0008,T0013	C027	26.956	0.648
T0004,T0005	C027	31.785	0.632
T0000	C028	11.644	0.846
T0004	C028	19.528	0.518
T0005	C028	15.510	0.902
T0007	C028	16.666	0.719
T0008	C028	14.115	0.869
T0011	C028	23.400	0.693
T0013	C028	10.511	0.881
T0014	C028	8.732	0.710
T0017	C028	24.882	0.835
T0012,T0008	C028	42.171	0.638
T0001,T0017	C028	43.430	0.799
T0000,T0013	C028	24.138	0.750
T0004	C029	18.322	0.832
T0005	C029	14.647	0.718
T0006	C029	17.889	0.516
T0008	C029	13.645	0.892
T0010	C029	14.293	0.531
T0012	C029	17.173	0.640
T0017	C029	10.484	0.744
T0019	C029	22.736	0.677
T0011,T0010	C029	40.556	0.694
T0001,T0002	C029	38.026	0.549
T0008,T0012	C029	31.512	0.680
T0001	C030	10.897	0.893
T0002	C030	9.416	0.619
T0004	C030	11.580	0.616
T0005	C030	20.538	0.627
T0009	C030	13.363	0.889
T0011	C030	15.518	0.653
T0013	C030	13.363	0.815
T0015	C030	18.002	0.779
T0017	C030	24.542	0.583
T0018	C030	10.211	0.746
T0019	C030	12.532	0.582
T0001,T0011	C030	43.871	0.584
T0019,T0011	C030	21.593	0.823
T0000,T0019	C030	44.450	0.463
T0000	C031	17.383	0.504
T0002	C031	21.890	0.515
T0004	C031	12.909	0.706
T0005	C031	14.664	0.774
T0006	C031	11.086	0.787
T0007	C031	23.860	0.679
T0008	C031	8.394	0.509
T0009	C031	18.636	0.779
T0011	C031	20.030	0.644
T0012	C031	15.143	0.795
T0019	C031	19.568	0.742
T0014,T0015	C031	19.961	0.557
T0016,T0009	C031	31.903	0.772
T0019,T0017	C031	22.775	0.574
T0001	C032	15.779	0.875
T0002	C032	15.551	0.794
T0006	C032	15.435	0.770
T0007	C032	21.343	0.503
T0010	C032	8.254	0.642
T0014	C032	9.390	0.550
T0017	C032	19.743	0.903
T0019	C032	24.361	0.794
T0005,T0016	C032	37.495	0.706
T0009,T0019	C032	26.340	0.821
T0014,T0002	C032	43.208	0.613
T0000	C033	8.718	0.601
T0001	C033	20.124	0.659
T0004	C033	20.219	0.651
T0007	C033	10.905	0.561
T0009	C033	13.812	0.837
T0010	C033	23.964	0.547
T0014	C033	22.314	0.816
T0016	C033	11.750	0.754
T0013,T0011	C033	38.533	0.472
T0019,T0016	C033	30.425	0.515
T0009,T0001	C033	44.355	0.477
T0000	C034	9.051	0.807
T0002	C034	8.152	0.726
T0003	C034	8.319	0.504
T0004	C034	11.402	0.624
T0006	C034	11.970	0.589
T0008	C034	17.441	0.690
T0009	C034	14.915	0.507
T0010	C034	18.882	0.820
T0011	C034	11.001	0.880
T0012	C034	21.513	0.869
T0013	C034	22.161	0.563
T0014	C034	12.866	0.645
T0016	C034	21.489	0.779
T0017	C034	11.440	0.813
T0018	C034	24.195	0.841
T0019	C034	12.864	0.606
T0013,T0007	C034	36.678	0.740
T0006,T0010	C034	25.498	0.632
T0019,T0012	C034	40.936	0.605
T0000	C035	12.156	0.849
T0004	C035	9.229	0.835
T0010	C035	15.758	0.648
T0011	C035	16.012	0.507
T0012	C035	10.856	0.738
T0015	C035	15.781	0.763
T0016	C035	9.355	0.757
T0017	C035	18.966	0.572
T0019	C035	15.282	0.731
T0014,T0003	C035	40.344	0.724
T0002,T0005	C035	29.387	0.464
T0001,T0006	C035	34.484	0.744
T0000	C036	23.885	0.649
T0004	C036	19.121	0.578
T0005	C036	24.610	0.872
T0008	C036	22.242	0.628
T0010	C036	21.131	0.597
T0011	C036	17.664	0.582
T0013	C036	16.605	0.612
T0014	C036	9.282	0.741
T0014,T0018	C036	30.353	0.523
T0011,T0006	C036	27.993	0.480
T0006,T0007	C036	37.890	0.503
T0000	C037	10.781	0.652
T0001	C037	14.126	0.756
T0004	C037	18.945	0.582
T0005	C037	17.777	0.852
T0008	C037	13.374	0.702
T0009	C037	8.890	0.654
T0011	C037	9.161	0.634
T0018	C037	15.064	0.530
T0019	C037	19.193	0.861
T0000,T0005	C037	42.254	0.540
T0008,T0019	C037	41.081	0.831
T0013,T0000	C037	23.835	0.703
T0000	C038	15.334	0.889
T0001	C038	14.060	0.775
T0006	C038	13.979	0.667
T0010	C038	15.637	0.850
T0012	C038	20.417	0.604
T0014	C038	16.621	0.739
T0019	C038	8.225	0.732
T0017,T0014	C038	19.962	0.685
T0001,T0011	C038	39.648	0.625
T0017,T0009	C038	40.540	0.627
T0001	C039	10.289	0.891
T0002	C039	14.189	0.642
T0005	C039	17.791	0.871
T0007	C039	10.780	0.588
T0008	C039	15.921	0.632
T0009	C039	10.878	0.555
T0013	C039	20.012	0.697
T0015	C039	16.839	0.713
T0016	C039	22.325	0.587
T0010,T0003	C039	27.763	0.735
T0016,T0005	C039	33.544	0.626
T0017,T0014	C039	25.913	0.533
